Player,From,To,Price
Dominik Szoboszlai,RB Leipzig,Liverpool,€70M
Teodor Minchev,Arsenal,Swansea,Free
Manni Norkett,Man Utd,Nottingham,Free
Isaac Westendorf,Newcastle Utd.,Larne,Free
Ronny Nelson,Leicester,Colchester,Free
Tarik Gidaree,B'mouth,Harrow Borough FC,Free
Osa Solomon,Nottingham,Grantham Town,Free
João Pedro,Watford,Brighton,€34.2M
Mahmoud Dahoud,Dortmund,Brighton,Free
James Milner,Liverpool,Brighton,Free
Alexis Mac,Brighton,Liverpool,€42M
Haydon Roberts,Brighton,Bristol City,Free
Jack Spong,Brighton,Queen's,Free
Teddy Jenks,Brighton,Forest,Free
Antef Tsoungui,Brighton,Feyenoord,Free
Josh Lane,Aston Villa,Robert Morris Colonials (Robert Morris University),Free
Matheus Cunha,Atlético,Wolverhampton,€50M
Nahuel Bustos,Man City,Talleres,Free
Harry Wright,Everton,Fleetwood,Free
Rekeem Harper,Ipswich Town,Burton Albion,Free
Finlay Armstrong,Burnley,Fleetwood,Free
Harry Winks,Tottenham,Leicester,€11.6M
Conor Coady,Wolverhampton,Leicester,€8.7M
Diego Manuel,Benfica,Chelsea,Free
Joe Bryan,Fulham,Millwall,Free
Ethan Laird,Man Utd,Birmingham City,€0.9M
Nicolas Jackson,Villarreal,Chelsea,€37M
Ruben Loftus-Cheek,Chelsea,Milan,€18.5M
Ethan Galbraith,Man Utd,Leyton Orient,Free
Karl Daley,Leicester,Leighton Town,Free
Romaine Mundle,Tottenham,Standard,Free
Kai Havertz,Chelsea,Arsenal,€75M
James Maddison,Leicester,Tottenham,€46.3M
Edouard Mendy,Chelsea,Al Ahli,€18.5M
Mislav Orsic,Southampton,Trabzonspor,€2.4M
Jack Turner,Southampton,Queen's,Free
Chiedozie Ogbene,Rotherham,Luton,Free
Guglielmo Vicario,Empoli,Tottenham,€18.5M
Mateo Kovacic,Chelsea,Man City,€29.1M
Harry Isted,Luton,Charlton Athletic,Free
Zidane Iqbal,Man Utd,Utrecht,€1M
Ethan Wady,Chelsea,Millwall,Free
Dan Nlundulu,Southampton,Bolton Wanderers,Free
İlkay Gündoğan,Man City,Barcelona,Free
Kalidou Koulibaly,Chelsea,Al-Hilal,€23M
Lewis Thomas,Burnley,Harrogate,Free
Dara O'Shea,West Bromwich,Burnley,€7.8M
Justin Kluivert,Roma,B'mouth,€10.8M
Rúben Neves,Wolverhampton,Al-Hilal,€55M
Nathan Baxter,Chelsea,Bolton Wanderers,Free
Lukas Jensen,Burnley,Lincoln,Free
N'Golo Kanté,Chelsea,Al-Ittihad,Free
Christopher Nkunku,RB Leipzig,Chelsea,€60M
Will Tizzard,Southampton,Queen's,Free
Matt Smith,Arsenal,Wigan,Free
Tom Bloxham,Tottenham,Blackburn,Free
Will Norris,Burnley,Portsmouth,Free
Charlie Hayes-Green,Liverpool,Bolton Wanderers,Free
Daniel Quick,C. Palace,Eastbourne Borough,Free
Harry Barclay,Newcastle Utd.,AFC Blyth,Free
Dejan Kulusevski,Juventus,Tottenham,€30M
Ziyad Larkeche,Fulham,QPR,Free
Will Brook,Leeds United,Nottingham,Free
Yankuba Minteh,Odense,Newcastle Utd.,€8M
Kevin Schade,SC Freiburg,Brentford,€25M
Youri Tielemans,Leicester,Aston Villa,Free
Isaac Price,Everton,Standard,Free
Naby Keïta,Liverpool,Werder,Free
Shane Duffy,Fulham,Norwich,Free
Terrell Agyemang,Man City,Middlesbrough,Free
Michael Agboola,Wolverhampton,Hullbridge Sports FC,Free
Jack Scott,Wolverhampton,Linfield,Free
Paulo Gazzaniga,Fulham,Girona,Free
Jack Butland,C. Palace,Rangers,Free
Jefferson Lerma,B'mouth,C. Palace,Free
